val_accuracy,val_margin_at_50,val_robstacc_36,val_robstacc_72,val_robstacc_108,val_robstacc_255,epoch,train_throughput,val_throughput,model_id,get_conv,lr,weight_decay,epochs,run_dname,start_time,completed
0.6911,0.2624963372945785,0.5504,0.3984,0.267,0.0208,840.0,418.054619302555,4503.918841171265,ConvNetM_1x1,CayleyConv,0.023219571121656,1.984256168157517e-05,840,20230822_094747.49,2023-08-22 09:47:47,True
,,,,,,,,,ConvNetM_1x1,LOT,0.0299175369775708,6.930313761454245e-05,180,20230822_094947.51,2023-08-22 09:49:47,False
0.1,0.0,0.0,0.0,0.0,0.0,6276.0,2486.1795984384967,6319.167195892334,ConvNetM_1x1,SLLConv2d,0.0680587817551522,0.0002135306790296,6276,20230822_094947.54,2023-08-22 09:49:47,True
0.7054,0.2683635503053665,0.5557,0.3996,0.2705,0.0207,3720.0,1005.6754657200404,1153.5351085662842,ConvNetM_1x1,SOC,0.0293728976633359,7.114724831737776e-05,3720,20230822_094747.48,2023-08-22 09:47:47,True
0.7358,0.3508844077587127,0.6075,0.4653,0.3428,0.0436,9156.0,2545.7811665437657,9902.969934082032,ConvNetS,AOLConv2dDirac,0.012569902929251,5.426665313089211e-05,9156,20230822_081440.12,2023-08-22 08:14:40,True
0.7307,0.3289316296577453,0.5928,0.4482,0.317,0.0282,1500.0,886.5860967830736,10920.633431243896,ConvNetS,BCOP,0.0036267909119144,7.743052686568611e-05,1500,20230822_081440.10,2023-08-22 08:14:40,True
0.1,0.0,0.0,0.0,0.0,0.0,9564.0,3064.485791887556,8396.602489089966,ConvNetS,CPLConv2d,0.0703865168337984,0.0001496491841479,9564,20230822_081440.15,2023-08-22 08:14:40,True
0.7415,0.3492567837238312,0.6106,0.463,0.3282,0.0328,2568.0,1278.0418413123307,9202.128521728517,ConvNetS,CayleyConv,0.0138812975419338,1.051368249696247e-05,2568,20230822_081440.9,2023-08-22 08:14:40,True
0.7665,0.4075643569231033,0.6456,0.5057,0.375,0.0485,816.0,354.67537603572924,4566.237528991699,ConvNetS,LOT,0.0313989577320771,6.604408219812456e-05,816,20230822_081440.11,2023-08-22 08:14:40,True
0.1,0.0,0.0,0.0,0.0,0.0,8436.0,2819.8432226375658,7477.331015777588,ConvNetS,SLLConv2d,0.0398802267485918,0.0001943410131416,8436,20230822_081440.14,2023-08-22 08:14:40,True
0.7502,0.3811773061752319,0.6287,0.488,0.3565,0.0443,4032.0,1442.9732747759138,2304.1828258514406,ConvNetS,SOC,0.0174395119314602,2.132492586095565e-05,4032,20230822_081440.8,2023-08-22 08:14:40,True
0.6974,0.2812332957983017,0.5563,0.4146,0.281,0.0261,11664.0,5955.405674058564,17838.90633468628,ConvNetS_1x1,AOLConv2dDirac,0.0523290306436063,4.181309408866701e-05,11664,20230822_081509.44,2023-08-22 08:15:09,True
0.6951,0.2684741020202636,0.5536,0.4022,0.2701,0.0213,1980.0,1226.036570490623,14833.060823059082,ConvNetS_1x1,BCOP,0.0035756762765351,1.9159692560391116e-05,1980,20230822_081508.42,2023-08-22 08:15:08,True
0.6973,0.2688020765781402,0.5527,0.4009,0.2701,0.0183,9756.0,5180.818187635772,19387.81690750122,ConvNetS_1x1,BnBConv2dDirac,0.0195053485544128,1.65576722618452e-05,9756,20230822_081509.45,2023-08-22 08:15:09,True
0.1,0.0,0.0,0.0,0.0,0.0,10932.0,4282.448960596202,12043.18720588684,ConvNetS_1x1,CPLConv2d,0.0917504821252087,8.613710015574152e-05,10932,20230822_094747.47,2023-08-22 09:47:47,True
0.6879,0.2600461840629577,0.5452,0.3939,0.2632,0.0195,2568.0,1184.9319827021384,7985.42858505249,ConvNetS_1x1,CayleyConv,0.0106665153674068,4.257957238184155e-06,2568,20230822_081508.41,2023-08-22 08:15:08,True
0.6885,0.2598015069961548,0.5454,0.3981,0.2718,0.0226,1044.0,569.8337985447475,8922.886972045899,ConvNetS_1x1,LOT,0.0504354840249842,0.0002805830933009,1044,20230822_081508.43,2023-08-22 08:15:08,True
0.1,0.0,0.0,0.0,0.0,0.0,9480.0,4633.167398569535,12558.452780151369,ConvNetS_1x1,SLLConv2d,0.0308528798136503,0.0002217377654583,9480,20230822_081509.46,2023-08-22 08:15:09,True
0.6867,0.2514526546001434,0.5418,0.3867,0.2539,0.0172,4608.0,1850.399079536905,3127.9217933654786,ConvNetS_1x1,SOC,0.0416830370256448,6.182485054175161e-06,4608,20230822_081508.40,2023-08-22 08:15:08,True
0.7174,0.3291949927806854,0.5909,0.4524,0.3239,0.0394,10044.0,4693.559253536925,17669.301586151123,ConvNetXS,AOLConv2dDirac,0.0572893960435106,3.6760764309725095e-05,10044,20230822_081440.4,2023-08-22 08:14:40,True
0.7168,0.3153144717216491,0.5846,0.4415,0.3128,0.0296,1524.0,952.35942100992,19885.13179092407,ConvNetXS,BCOP,0.0065220114972008,0.0002560596949939,1524,20230822_081441.2,2023-08-22 08:14:41,True
0.7492,0.3758727014064789,0.6249,0.4854,0.352,0.0416,10032.0,4839.336960695227,14957.26999206543,ConvNetXS,CPLConv2d,0.0342710854594042,0.0001271843850439,10032,20230822_081440.7,2023-08-22 08:14:40,True
0.7312,0.3344714343547821,0.595,0.4519,0.3193,0.0296,4272.0,2402.469604025082,15210.891537475583,ConvNetXS,CayleyConv,0.0174045182943194,2.353736292727412e-05,4272,20230822_081440.1,2023-08-22 08:14:40,True
0.7554,0.3892308175563812,0.6345,0.492,0.3614,0.0435,2664.0,1474.0377155226104,12105.124994659423,ConvNetXS,LOT,0.0829045825364164,4.091741666286662e-06,2664,20230822_081440.3,2023-08-22 08:14:40,True
0.7365,0.3566681146621704,0.6099,0.4681,0.3441,0.0418,8820.0,4468.25767688362,12298.404208374024,ConvNetXS,SLLConv2d,0.0907043854871856,1.9904719454930484e-05,8820,20230822_081440.6,2023-08-22 08:14:40,True
0.7414,0.3719336539506912,0.6131,0.4784,0.3473,0.041,4452.0,2140.0543874623822,4139.589300537109,ConvNetXS,SOC,0.050823373629817,7.228336398572302e-06,4452,20230823_053725.64,2023-08-23 05:37:25,True
0.6803,0.260499432682991,0.543,0.3978,0.2685,0.0236,11532.0,7342.491617786641,20380.32400817871,ConvNetXS_1x1,AOLConv2dDirac,0.0771820359564278,7.012066626719968e-06,11532,20230822_081439.36,2023-08-22 08:14:39,True
0.6857,0.2592965066432953,0.545,0.394,0.2654,0.0192,2004.0,1468.7325107029503,22522.50355682373,ConvNetXS_1x1,BCOP,0.0109256583975069,7.064356888126782e-05,2004,20230822_081439.34,2023-08-22 08:14:39,True
0.6639,0.2181534022092819,0.5153,0.3665,0.243,0.0178,9480.0,6485.658373307208,22468.6655090332,ConvNetXS_1x1,BnBConv2dDirac,0.0084908192534492,0.0001175601022706,9480,20230822_081439.37,2023-08-22 08:14:39,True
0.7198,0.3335546553134918,0.5907,0.4537,0.3323,0.0408,11388.0,6191.876225218481,21559.684568786623,ConvNetXS_1x1,CPLConv2d,0.0180900439225716,0.0001382921591977,11388,20230822_081439.39,2023-08-22 08:14:39,True
0.6793,0.2505327314138412,0.5379,0.3902,0.2559,0.019,4284.0,3066.657492657097,20746.69691696167,ConvNetXS_1x1,CayleyConv,0.0122484017071472,1.9572483973169007e-05,4284,20230822_081439.33,2023-08-22 08:14:39,True
0.6935,0.2668831348419189,0.5489,0.4027,0.269,0.0219,2808.0,1968.805912562779,16568.57194824219,ConvNetXS_1x1,LOT,0.019781271089198,0.0001850584385406,2808,20230822_081439.35,2023-08-22 08:14:39,True
0.1,0.0,0.0,0.0,0.0,0.0,9360.0,6185.841615793656,16268.51817703247,ConvNetXS_1x1,SLLConv2d,0.0398362844641149,0.0001163824456454,9360,20230822_081439.38,2023-08-22 08:14:39,True
0.6755,0.226830706000328,0.5231,0.3749,0.2475,0.0167,4920.0,3171.2669331297584,6590.913662719727,ConvNetXS_1x1,SOC,0.0679987154493934,2.1213768577721823e-05,4920,20230822_081439.32,2023-08-22 08:14:39,True
